latitude,longitude,altura,speed
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092318,-60.018397,52.9,1.28
-3.092602,-60.018455,-21.3,0.54
-3.092597,-60.01845,-9.4,0.63
-3.092589,-60.018455,-3.2,0.61
-3.092583,-60.018469,5.0,3.09
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
-3.092588,-60.018471,7.8,3.11
